"Дата","Регион","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день"
05.06.2021,Приморский край,44616,41671,735,0,53,41
28.05.2021,Карелия,47084,45335,542,2,58,64
01.08.2020,Камчатский край,3378,3001,42,0,16,14
13.07.2020,Крым,871,645,12,0,16,0
28.07.2020,Свердловская обл.,19934,15011,243,3,209,509
29.06.2021,Тульская обл.,42612,39242,2208,6,154,61
23.05.2020,Алтайский край,1254,620,7,0,69,21
01.04.2021,Хакасия,21865,21122,504,0,16,40
18.09.2021,Ставропольский край,81630,65252,2711,22,354,102
13.11.2021,Тульская обл.,63562,55349,3676,15,269,259
01.11.2021,Кемеровская обл.,63624,60437,1464,4,302,239
04.08.2021,Оренбургская обл.,57657,47683,1299,9,352,227
04.09.2020,Красноярский край,17304,13748,498,6,107,78
03.03.2021,Тыва,15665,14587,193,0,5,10
27.08.2020,Нижегородская обл.,27129,24248,456,3,134,188
16.04.2021,Орловская обл.,33379,30933,530,3,58,88
30.07.2020,Санкт-Петербург,31302,23292,2023,22,162,93
14.05.2020,Тульская обл.,2158,482,16,2,98,89
19.05.2021,Алтайский край,50908,45874,2205,7,66,66
02.02.2021,Амурская обл.,19651,17952,140,0,87,95
27.09.2021,Брянская обл.,64932,60298,1418,5,194,78
09.06.2021,Курганская обл.,21656,20680,428,4,30,25
11.12.2020,Калужская обл.,17674,16591,124,2,161,156
18.03.2021,Ульяновская обл.,49519,46110,914,8,102,99
18.09.2021,Мордовия,27258,23556,529,3,68,52
05.03.2021,Ленинградская обл.,36733,33488,689,14,144,274
24.05.2020,Кабардино-Балкария,2251,567,8,0,80,7
23.07.2021,Чукотский АО,1069,792,8,0,16,5
21.04.2020,Хабаровский край,243,16,5,0,28,0
09.11.2021,Краснодарский край,84245,58933,7782,47,320,78
26.01.2021,Московская обл.,187680,147781,3581,35,1129,1202
19.05.2021,Новгородская обл.,30557,29425,138,3,31,79
23.08.2021,Магаданская обл.,10135,9155,206,1,28,23
09.11.2020,Архангельская обл.,23896,13635,300,0,342,198
12.07.2020,Иркутская обл.,10094,4490,94,0,209,88
13.04.2021,Пензенская обл.,43329,40620,573,3,100,141
17.06.2021,Астраханская обл.,34962,33773,813,2,41,72
04.04.2020,Новосибирская обл.,10,2,0,0,0,0
17.09.2020,Ставропольский край,14208,9872,279,4,138,120
28.12.2020,Кировская обл.,24902,18233,226,1,248,265
09.08.2021,Псковская обл.,44656,37313,599,5,109,55
10.11.2020,Ростовская обл.,33734,26937,976,19,307,397
20.07.2021,Севастополь,19041,16634,804,4,134,113
08.07.2020,Курская обл.,5466,3630,43,2,44,57
01.05.2021,Белгородская обл.,36845,34731,633,2,75,97
27.05.2020,Приморский край,1779,798,17,0,44,92
27.09.2020,Забайкальский край,6029,4852,68,1,78,7
24.10.2020,Ненецкий АО,415,156,0,0,8,3
